 11_TP10_1	 11_TP10_2	 11_TP10_3	 11_TP11_1	 11_TP11_2	 11_TP11_3	 11_TP12_1	 11_TP12_2	 11_TP12_3	 11_TP14_1	 11_TP14_2	 11_TP14_3	 11_TP15_1	 11_TP15_2	 11_TP15_3	 11_TP16_1	 11_TP16_2	 11_TP16_3	 11_TP5_1	 11_TP5_2	 11_TP5_3	 11_TP6_1	 11_TP6_2	 11_TP6_3	 11_TP7_1	 11_TP7_2	 11_TP7_3	 11_TP9_1	 11_TP9_2	 11_TP9_3	 12_TP10_1	 12_TP10_2	 12_TP10_3	 12_TP11_1	 12_TP11_2	 12_TP11_3	 12_TP12_1	 12_TP12_2	 12_TP12_3	 12_TP14_1	 12_TP14_2	 12_TP14_3	 12_TP15_1	 12_TP15_2	 12_TP15_3	 12_TP16_1	 12_TP16_2	 12_TP16_3	 12_TP5_1	 12_TP5_2	 12_TP5_3	 12_TP6_1	 12_TP6_2	 12_TP6_3	 12_TP7_1	 12_TP7_2	 12_TP7_3	 12_TP9_1	 12_TP9_2	 12_TP9_3	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	N	N	N	N	N	N	N	N	N	N	N	T	T	T
#!{C:Grouping1}11_TP10	11_TP10	11_TP10	11_TP11	11_TP11	11_TP11	11_TP12	11_TP12	11_TP12	11_TP14	11_TP14	11_TP14	11_TP15	11_TP15	11_TP15	11_TP16	11_TP16	11_TP16	11_TP5	11_TP5	11_TP5	11_TP6	11_TP6	11_TP6	11_TP7	11_TP7	11_TP7	11_TP9	11_TP9	11_TP9	12_TP10	12_TP10	12_TP10	12_TP11	12_TP11	12_TP11	12_TP12	12_TP12	12_TP12	12_TP14	12_TP14	12_TP14	12_TP15	12_TP15	12_TP15	12_TP16	12_TP16	12_TP16	12_TP5	12_TP5	12_TP5	12_TP6	12_TP6	12_TP6	12_TP7	12_TP7	12_TP7	12_TP9	12_TP9	12_TP9																	
19.6877727508545	19.5861320495605	19.4511699676514	19.753604888916	19.690860748291	19.7270355224609	19.6145915985107	19.7538166046143	19.7160892486572	19.8902397155762	19.6646633148193	19.808952331543	19.8902397155762	19.8253345489502	19.7277011871338	20.2882766723633	19.6251907348633	19.8118228912354	20.0371131896973	19.6875324249268	19.6607513427734	19.5735950469971	19.8657455444336	19.6417064666748	19.8037109375	19.6878910064697	19.6457748413086	19.538200378418	19.7239246368408	19.540491104126	19.3962783813477	19.5929164886475	19.8998870849609	19.7533435821533	19.6039485931396	19.5027313232422	19.60498046875	19.7573223114014	19.9224071502686	19.2955131530762	19.9222621917725	19.6454219818115	19.625602722168	19.4062995910645	19.4521160125732	19.7533111572266	20.2408618927002	19.8273983001709	19.6875152587891	0	19.3946475982666	19.3694133758545	20.0385875701904	19.3940811157227	19.8030815124512	19.841609954834	0	19.5898666381836	19.4441299438477	19.9116668701172				10	10	10	41.5	41.5	41.5	43.102	0	266.13	42018000	265	Cre01.g000350.t1.1	Cre01.g000350.t1.1	7
0	0	0	0	16.5361557006836	0	0	16.5662479400635	0	17.6345272064209	17.3654689788818	17.3555240631104	17.860481262207	18.3930130004883	17.976676940918	17.9854869842529	17.9256114959717	18.3708839416504	0	16.5775318145752	0	0	0	0	0	0	0	0	0	0	0	16.9977741241455	0	16.8541622161865	0	17.0526103973389	16.622709274292	0	0	0	16.9285640716553	16.779821395874	0	0	0	0	0	0	0	0	0	0	0	16.7697868347168	0	16.7242736816406	0	0	0	16.8217735290527				4	4	4	16.6	16.6	16.6	50.844	0	44.348	4101800	45	Cre01.g000900.t1.2	Cre01.g000900.t1.2	8
18.7586078643799	18.9119892120361	18.951114654541	19.033971786499	19.2665939331055	18.9364070892334	19.1924610137939	19.1138801574707	19.1099071502686	19.1881923675537	19.2694053649902	19.2985153198242	18.9598541259766	19.348819732666	19.1568183898926	19.0694923400879	19.0237216949463	19.0336761474609	18.7926502227783	18.681266784668	18.7824478149414	18.7670402526855	18.8261890411377	18.9418621063232	18.8920211791992	19.1381874084473	18.9072132110596	18.8793926239014	19.0294761657715	18.7972507476807	19.3522281646729	18.9668273925781	19.1542987823486	19.6482524871826	19.0993881225586	19.044548034668	19.7643852233887	18.4892673492432	19.7420043945313	19.6690311431885	19.4896202087402	19.3703289031982	19.0447616577148	19.3955249786377	19.3081474304199	19.2216396331787	19.1216144561768	19.1634178161621	19.1658000946045	0	19.295804977417	18.5860042572021	18.8035697937012	19.3231830596924	19.1218166351318	18.777063369751	0	18.9123096466064	19.2389736175537	18.891695022583				12	12	12	30.2	30.2	30.2	69.963	0	190.7	28178000	189	Cre01.g001100.t1.2	Cre01.g001100.t1.2	9
17.8763370513916	0	0	0	0	18.5176849365234	17.9166603088379	17.5525493621826	17.4780902862549	17.8440189361572	17.8587818145752	0	16.9065380096436	0	0	0	17.2079105377197	0	18.1463394165039	17.7827682495117	17.6272773742676	18.1570911407471	18.2496128082275	17.5886421203613	18.2591171264648	18.2237377166748	17.3836364746094	18.0393905639648	17.8269958496094	18.6675758361816	18.401912689209	18.3483219146729	18.4487133026123	18.1600494384766	18.614429473877	17.5765132904053	18.2599906921387	18.1751403808594	18.3512153625488	17.8930282592773	18.2321491241455	18.6298408508301	18.5805683135986	18.4255847930908	0	18.4917755126953	18.577657699585	18.5199890136719	18.4838085174561	0	17.9994277954102	17.9296627044678	18.5034294128418	17.4411926269531	0	17.9284496307373	0	18.1398601531982	18.3586597442627	18.2277851104736				6	6	6	14.8	14.8	14.8	60.329	0	47.259	11393000	86	Cre01.g001750.t1.2	Cre01.g001750.t1.2	10
20.6966781616211	20.553279876709	20.6194362640381	20.880916595459	20.8537654876709	21.0007209777832	20.9338035583496	20.9193267822266	20.9072723388672	21.0363750457764	20.6153106689453	20.7866020202637	20.6729717254639	20.5085258483887	20.7395820617676	20.9736518859863	20.8278789520264	20.6271171569824	20.6638813018799	20.4861087799072	20.3984298706055	20.6206893920898	20.8268718719482	20.3528327941895	20.8179244995117	20.7100296020508	20.6641426086426	20.8057746887207	20.864990234375	20.4920883178711	20.3602466583252	20.2230548858643	20.0968704223633	20.29905128479	20.0844650268555	20.4237804412842	20.3453788757324	20.1064853668213	20.4273662567139	20.0686779022217	20.212287902832	20.1703548431396	20.4492969512939	20.5434970855713	20.1146430969238	19.8960342407227	19.8548927307129	20.0754852294922	20.3800468444824	0	20.4006214141846	20.3882694244385	20.7418060302734	20.723840713501	20.4016628265381	20.231164932251	0	19.8485336303711	20.2049045562744	20.4937496185303				8	8	8	90.1	90.1	90.1	18.38	0	233.6	76217000	346	Cre01.g002300.t1.2	Cre01.g002300.t1.2	11
21.067892074585	21.1100597381592	21.2408027648926	21.0256023406982	21.4147262573242	21.3368530273438	21.4178714752197	21.2209892272949	21.5122928619385	21.1127338409424	21.084529876709	21.1908702850342	20.5225772857666	20.6670913696289	20.6890182495117	19.6299114227295	20.3438625335693	20.2222290039063	20.8023872375488	20.9626808166504	21.0704479217529	20.971830368042	21.0649356842041	20.9104232788086	21.3388671875	21.1007881164551	21.2607498168945	21.1694984436035	20.8722248077393	21.0793952941895	21.6381206512451	21.64284324646	21.5186939239502	21.3523483276367	21.2086009979248	21.1963443756104	21.4069652557373	21.2794036865234	20.9810600280762	21.5474548339844	21.4793643951416	21.3059673309326	21.3833198547363	21.3637256622314	21.8376903533936	21.2606925964355	21.466775894165	21.5747776031494	20.9946575164795	0	21.4043159484863	21.4751148223877	21.547550201416	21.583251953125	21.901575088501	21.3267402648926	0	21.5270729064941	21.2179183959961	21.9361782073975				22	22	22	73.7	73.7	73.7	26.577	0	189.54	120120000	302	Cre01.g002500.t1.2	Cre01.g002500.t1.2	12
0	0	0	15.7162837982178	16.1830730438232	16.3355655670166	15.9930486679077	16.3545589447021	16.0414657592773	0	16.3077526092529	0	0	16.8161582946777	16.5522937774658	0	16.9882621765137	17.1595554351807	16.3439140319824	0	0	0	0	0	16.3908748626709	16.5454025268555	16.0719223022461	16.6217079162598	0	0	0	16.1104011535645	0	16.0215663909912	0	0	16.0147609710693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5160999298096				3	3	3	4.2	4.2	4.2	82.006	0	26.505	2095200	27	Cre01.g003550.t1.1	Cre01.g003550.t1.1	13
19.1696701049805	19.0508060455322	19.0822315216064	19.1898822784424	18.6957111358643	18.7130374908447	18.7671375274658	18.5762176513672	19.0626831054688	18.8280811309814	18.6650791168213	18.966516494751	19.0359325408936	18.7983894348145	19.012580871582	18.590726852417	18.7926502227783	18.9367237091064	18.7831516265869	18.9499740600586	19.1194629669189	18.8840503692627	18.8941249847412	19.1519241333008	18.5053310394287	18.7012386322021	18.9758644104004	19.1054382324219	18.7175617218018	19.2462062835693	18.9213752746582	19.3295459747314	19.2274322509766	18.9781017303467	18.9956245422363	19.1491966247559	18.7122650146484	19.0285053253174	19.1465148925781	18.9227409362793	19.0718765258789	18.7948093414307	19.2697467803955	18.8934135437012	19.2811374664307	19.2185440063477	19.1190567016602	18.7079925537109	19.7047882080078	0	19.0367908477783	19.2255973815918	18.7806549072266	18.9912014007568	18.8092021942139	19.2151355743408	0	18.960334777832	18.9321746826172	18.5148372650146				12	12	12	29.4	29.4	29.4	64.898	0	116.35	26041000	162	Cre01.g004300.t1.2	Cre01.g004300.t1.2	14
